Instance: STAP-CS_Num20_S50_D10_ID3
OFV: 227.2128062730991
Visiting sequence:
1   0
1   1
2   0
2   1
3   0
3   1
4   0
4   1
5   0
5   1
6   0
6   1
7   0
7   1
8   0
8   1
9   0
9   1
10   0
10   1
11   0
11   1
12   0
12   1
13   0
13   1
14   0
14   1
15   0
15   1
16   0
16   1
17   0
17   1
18   0
18   1
19   0
19   1
20   0
20   1
Traveling path:
0.0     0.0
-354.3    43.0
-354.3    43.0
-479.3  -282.9
-479.3  -282.9
-319.6  -610.5
-319.6  -610.5
462.4  -515.5
462.4  -515.5
338.1  -529.6
338.1  -529.6
284.4   257.8
284.4   257.8
181.3   382.5
181.3   382.5
-16.8   548.2
-16.8   548.2
0.0     0.0
