ServiceMode
STAP-IS

Traveler
Number  Xcoord  Ycoord  SpeedMax
      15           0.0         0.0           50

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1    -1612.0      41.0           300.0                          20.0
     2    -3379.0     -52.0           300.0                          20.0
     3     -346.0     186.0           300.0                          20.0
     4      992.0    -176.0           300.0                          20.0
     5     -641.0     164.0           300.0                          20.0
     6    -3665.0      71.0           300.0                          20.0
     7    -3128.0    -143.0           300.0                          20.0
     8    -3731.0     -73.0           300.0                          20.0
     9    -3795.0     -35.0           300.0                          20.0
    10    -3462.0      44.0           300.0                          20.0
    11    -1529.0      98.0           300.0                          20.0
    12     1544.0    -156.0           300.0                          20.0
    13    -3205.0     -98.0           300.0                          20.0
    14    -1456.0     120.0           300.0                          20.0
    15    -3235.0      53.0           300.0                          20.0
