ServiceMode
STAP-CS

Traveler
Number  Xcoord  Ycoord  SpeedMax
      15           0.0         0.0           50

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1    -2705.0     -54.0           300.0                           5.0
     2    -1373.0     155.0           300.0                           5.0
     3     -674.0     130.0           300.0                           5.0
     4    -2348.0     -27.0           300.0                           5.0
     5      785.0     112.0           300.0                           5.0
     6    -3601.0       8.0           300.0                           5.0
     7    -3718.0      -7.0           300.0                           5.0
     8     1393.0      60.0           300.0                           5.0
     9      290.0     119.0           300.0                           5.0
    10    -1091.0      94.0           300.0                           5.0
    11    -1855.0    -140.0           300.0                           5.0
    12    -2240.0     120.0           300.0                           5.0
    13     1895.0     192.0           300.0                           5.0
    14    -3434.0       0.0           300.0                           5.0
    15    -3467.0     -97.0           300.0                           5.0
