ServiceMode
STAP-CS

Traveler
Number  Xcoord  Ycoord  SpeedMax
      15           0.0         0.0           50

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1    -1450.0       2.0           300.0                           5.0
     2      384.0     120.0           300.0                           5.0
     3     2417.0      88.0           300.0                           5.0
     4     1886.0    -112.0           300.0                           5.0
     5    -1230.0    -232.0           300.0                           5.0
     6    -1577.0    -171.0           300.0                           5.0
     7    -2349.0     127.0           300.0                           5.0
     8    -3342.0      45.0           300.0                           5.0
     9     3872.0     -25.0           300.0                           5.0
    10     1962.0     -43.0           300.0                           5.0
    11     3272.0     -37.0           300.0                           5.0
    12     1495.0     -95.0           300.0                           5.0
    13    -2191.0     196.0           300.0                           5.0
    14    -2909.0       4.0           300.0                           5.0
    15     2021.0    -133.0           300.0                           5.0
