ServiceMode
STAP-IM

Traveler
Number  Xcoord  Ycoord  SpeedMax
      15           0.0         0.0           50

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1      605.0     135.0           300.0                          20.0
     2    -2942.0    -155.0           300.0                          20.0
     3    -1033.0     213.0           300.0                          20.0
     4     -155.0    -133.0           300.0                          20.0
     5     2081.0    -122.0           300.0                          20.0
     6     -688.0     144.0           300.0                          20.0
     7    -2658.0    -120.0           300.0                          20.0
     8      -53.0     149.0           300.0                          20.0
     9     1295.0     138.0           300.0                          20.0
    10     1485.0     227.0           300.0                          20.0
    11     -470.0     -90.0           300.0                          20.0
    12    -3173.0    -105.0           300.0                          20.0
    13     -899.0     -67.0           300.0                          20.0
    14     1287.0    -235.0           300.0                          20.0
    15     3765.0       3.0           300.0                          20.0
