ServiceMode
STAP-IM

Traveler
Number  Xcoord  Ycoord  SpeedMax
      15           0.0         0.0           50

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1     -791.0     188.0           300.0                          15.0
     2     2402.0    -114.0           300.0                          15.0
     3     1829.0      38.0           300.0                          15.0
     4    -2750.0      47.0           300.0                          15.0
     5    -1487.0    -186.0           300.0                          15.0
     6    -2985.0     -72.0           300.0                          15.0
     7     -494.0     144.0           300.0                          15.0
     8     1888.0     178.0           300.0                          15.0
     9    -1074.0     181.0           300.0                          15.0
    10     2075.0     -54.0           300.0                          15.0
    11     3242.0    -141.0           300.0                          15.0
    12     3112.0     127.0           300.0                          15.0
    13    -2152.0     159.0           300.0                          15.0
    14    -2219.0      27.0           300.0                          15.0
    15    -2311.0      39.0           300.0                          15.0
