ServiceMode
STAP-IS

Traveler
Number  Xcoord  Ycoord  SpeedMax
      15           0.0         0.0           50

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1      387.0    -408.0           300.0                          10.0
     2      480.0    -269.0           300.0                          10.0
     3     -566.0    -479.0           300.0                          10.0
     4     -885.0    -102.0           300.0                          10.0
     5      236.0     572.0           300.0                          10.0
     6      -31.0    -438.0           300.0                          10.0
     7      388.0     598.0           300.0                          10.0
     8     -142.0     935.0           300.0                          10.0
     9     -199.0     668.0           300.0                          10.0
    10     -719.0    -394.0           300.0                          10.0
    11      -79.0     801.0           300.0                          10.0
    12      -13.0     610.0           300.0                          10.0
    13      395.0     503.0           300.0                          10.0
    14      504.0    -116.0           300.0                          10.0
    15      370.0     909.0           300.0                          10.0
