Instance: STAP-CS_Num15_S50_D20_ID3
OFV: 408.6445770620013
RunTime: 432.9457392692566
GurobiRunTime: 345.5932350158691
Visiting sequence:
3   1
3   0
2   1
2   0
11   1
11   0
12   1
12   0
10   1
10   0
8   1
8   0
7   0
7   1
9   0
9   1
13   0
13   1
15   0
15   1
6   0
6   1
4   0
4   1
14   0
14   1
5   0
5   1
1   0
1   1
Traveling path:
0.0     0.0
1529.1    31.9
2127.4     6.8
2127.4     6.7
2701.8  -123.5
2942.2  -131.2
3411.2   106.7
3411.3   106.8
2816.5    75.4
2370.5    -2.4
2184.4   225.3
2184.2   225.4
1588.0   173.7
-194.0   148.3
-788.8    88.2
-788.8    88.1
-1373.9   174.9
-1852.1   165.1
-2061.1  -126.9
-2061.0  -126.9
-2607.0    -9.9
-2689.0   -23.4
-2989.3   228.0
-2989.3   227.9
-2479.2   176.1
-2479.3   176.2
-1931.0   -56.9
-1775.0  -102.1
-1222.7   -44.0
-1055.3    46.0
-499.1   118.7
0.0     0.0
