Instance: STAP-CS_Num15_S50_D15_ID10
OFV: 341.9264662166833
RunTime: 218.3399481773376
GurobiRunTime: 134.6338849067688
Visiting sequence:
12   1
12   0
15   1
15   0
9   1
9   0
10   1
10   0
7   1
7   0
1   1
1   0
8   1
8   0
6   1
6   0
2   0
2   1
3   0
3   1
4   0
4   1
11   0
11   1
13   0
13   1
14   0
14   1
5   0
5   1
Traveling path:
0.0     0.0
-499.2    94.5
-871.6  -139.8
-1021.8    -5.8
-1587.8    27.8
-1821.4   -38.2
-2279.7  -367.4
-2279.6  -367.4
-2736.8  -100.3
-3416.2   -74.7
-3416.9   -86.3
-2686.1  -142.7
-2087.2  -154.3
-1211.8  -121.0
-628.5   -11.8
-628.6   -11.7
-545.0   200.3
256.0   212.7
837.6   320.4
837.5   320.4
1351.4    51.1
1419.7    35.5
2011.3   -52.2
2758.7  -102.8
2760.3   -85.7
2102.7    -3.3
1944.2  -231.7
1681.4  -204.6
1084.3  -148.3
841.7  -118.3
247.2   -37.0
0.0     0.0
