Instance: STAP-IM_Num15_S50_D15_ID9
OFV: 300.0181473144576
RunTime: 85.33210515975952
GurobiRunTime: 4.07461142539978
Visiting sequence:
1   0
1   1
13   0
13   1
14   0
14   1
8   0
8   1
7   0
7   1
6   0
6   1
5   0
5   1
4   0
4   1
10   0
10   1
3   0
3   1
9   0
9   1
11   0
11   1
15   0
15   1
12   0
12   1
2   0
2   1
Traveling path:
0.0     0.0
-1150.0     1.4
-1740.2    77.9
-1900.8   120.1
-2480.8   118.4
-2619.2    81.6
-3105.9   230.4
-3105.9   230.1
-3042.0    43.8
-2636.8    42.3
-2061.7    40.5
-1790.9    39.4
-1361.4    37.6
-1361.0    37.9
-966.3   -89.0
1586.2  -123.7
2122.5  -296.6
2122.5  -296.5
2240.6  -154.4
2240.3  -154.4
2716.1    64.7
3572.9    -1.7
3572.6    -5.4
3570.3    -5.2
2975.3     7.6
2277.4    22.8
1771.6    33.7
1766.2    33.3
1219.3    23.2
664.1    12.6
108.3     1.8
0.0     0.0
