Instance: STAP-IM_Num15_S50_D10_ID4
OFV: 275.8684545056334
RunTime: 78.12631678581238
GurobiRunTime: 4.081536293029785
Visiting sequence:
4   0
4   1
8   0
8   1
1   0
1   1
5   0
5   1
2   0
2   1
3   0
3   1
7   0
7   1
10   0
10   1
6   0
6   1
13   0
13   1
11   0
11   1
15   0
15   1
14   0
14   1
12   0
12   1
9   0
9   1
Traveling path:
0.0     0.0
664.9     2.9
1165.1    -0.2
2356.9   -18.4
2866.0   -26.2
3583.0   -37.1
3583.1   -36.5
2147.7    -9.5
1710.3    -1.0
957.6    13.2
499.3    21.6
131.5    28.5
-271.8    21.4
-1185.6   -27.9
-1641.6  -212.5
-1641.9  -212.5
-2041.9    44.3
-2140.2    65.9
-2686.5   -29.5
-2733.7   -59.2
-2733.7   -59.2
-2733.8   -59.1
-2733.8   -59.1
-2238.4    95.5
-2238.4    95.5
-2191.8    95.3
-2191.8    95.3
-2061.7    95.2
-2061.7    95.2
-1930.7   100.7
-1430.1    74.6
0.0     0.0
