Instance: STAP-CS_Num15_S50_D20_ID10
OFV: 416.930986011697
RunTime: 496.2256119251251
GurobiRunTime: 404.33509516716
Visiting sequence:
12   1
12   0
15   1
15   0
9   1
9   0
10   1
10   0
7   1
7   0
1   1
1   0
8   1
8   0
6   1
6   0
2   0
2   1
3   0
3   1
4   0
4   1
11   0
11   1
13   0
13   1
14   0
14   1
5   0
5   1
Traveling path:
0.0     0.0
-499.2    94.2
-1033.5   -30.7
-1033.6   -30.8
-1587.7    27.5
-1821.3   -38.5
-2279.7  -367.4
-2279.6  -367.4
-2736.8  -100.7
-3416.2   -74.7
-3416.9   -86.3
-2686.1  -142.7
-2087.2  -154.7
-1211.8  -121.3
-628.5   -11.8
-628.6   -11.7
-545.0   200.6
256.0   212.4
837.6   320.4
837.5   320.4
1351.4    50.8
1419.6    35.2
2011.3   -52.2
2758.7  -102.8
2760.3   -85.7
2102.7    -3.3
1677.3  -237.5
1677.4  -237.5
1084.3  -148.0
841.7  -118.0
247.3   -36.7
0.0     0.0
