Instance: STAP-IM_Num15_S50_D10_ID8
OFV: 289.7836681974958
RunTime: 94.5620789527893
GurobiRunTime: 4.438616037368774
Visiting sequence:
13   0
13   1
1   0
1   1
10   0
10   1
2   0
2   1
6   0
6   1
7   0
7   1
11   0
11   1
12   0
12   1
8   0
8   1
14   0
14   1
4   0
4   1
15   0
15   1
3   0
3   1
5   0
5   1
9   0
9   1
Traveling path:
0.0     0.0
641.9    -3.9
1146.0    -6.7
2312.2   -13.6
2823.5   -16.5
3495.0   -20.2
3495.0   -24.5
3357.4   -26.2
3357.4   -26.2
3080.0   -28.0
2480.0   -32.9
2077.5   -37.1
2077.5   -37.1
-857.5   -68.8
-1391.4   -74.8
-1391.2   -74.5
-1650.6   -64.0
-1650.6   -64.0
-2024.6   134.4
-2370.2    28.4
-2636.3   174.9
-2636.4   174.9
-3119.9    48.0
-3182.2    50.3
-3183.1    88.0
-3073.9    97.4
-2551.2   142.7
-2539.9   143.7
-2467.7   120.2
-1648.7    80.1
-1049.4    51.0
0.0     0.0
