Instance: STAP-IM_Num15_S50_D20_ID4
OFV: 305.1274737109688
RunTime: 87.98699450492859
GurobiRunTime: 3.866164922714233
Visiting sequence:
4   0
4   1
8   0
8   1
1   0
1   1
5   0
5   1
2   0
2   1
3   0
3   1
7   0
7   1
13   0
13   1
11   0
11   1
15   0
15   1
6   0
6   1
14   0
14   1
12   0
12   1
10   0
10   1
9   0
9   1
Traveling path:
0.0     0.0
620.8   113.3
1209.9   106.7
2315.1  -120.7
2907.2  -148.5
3584.8   -74.5
3585.3    -5.0
2230.7   163.0
1633.1   206.4
1031.9   219.3
432.7   232.2
225.8   236.6
-370.3   199.9
-1181.2    82.7
-1777.3    60.2
-2186.8    88.5
-2733.7   -59.2
-2733.8   -59.1
-2829.6   195.5
-2829.5   195.5
-2680.4  -103.7
-2659.0   -66.3
-2659.0   -66.3
-2659.1   -66.0
-2090.1   -38.0
-2089.9   -38.1
-1498.8  -104.3
-1498.8  -104.2
-1445.6    30.8
-1408.7    29.8
-1408.7    29.8
0.0     0.0
