Instance: STAP-IM_Num15_S50_D10_ID9
OFV: 285.7415735496294
RunTime: 81.79637002944946
GurobiRunTime: 4.788366794586182
Visiting sequence:
5   0
5   1
7   0
7   1
8   0
8   1
14   0
14   1
13   0
13   1
6   0
6   1
1   0
1   1
2   0
2   1
12   0
12   1
10   0
10   1
3   0
3   1
9   0
9   1
11   0
11   1
15   0
15   1
4   0
4   1
Traveling path:
0.0     0.0
-979.9   -66.4
-1481.5   -68.4
-2094.9   -32.5
-2620.2    -1.3
-3042.6    25.4
-3042.0    42.5
-2609.0     6.5
-2609.0     6.5
-2422.9     5.7
-1959.1     5.7
-1339.0    11.6
-1339.0    11.6
-1150.2    11.8
-1150.2    11.8
103.2    14.3
664.8    14.3
1216.0    15.3
1707.1   117.1
1708.5   117.5
2138.7   199.4
2138.4   199.4
2715.6   117.4
3572.6    -5.4
3572.6    -5.4
2973.4    -7.6
2973.4    -7.6
2292.2    -4.7
1749.8    -4.7
1606.1    -4.0
1606.1    -4.0
0.0     0.0
