ServiceMode
STAP-IS

Traveler
Number  Xcoord  Ycoord  SpeedMax
      20           0.0         0.0           25

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1     -362.0      -4.0           300.0                           5.0
     2      497.0     556.0           300.0                           5.0
     3       97.0     487.0           300.0                           5.0
     4        8.0     699.0           300.0                           5.0
     5     -250.0     365.0           300.0                           5.0
     6      374.0    -358.0           300.0                           5.0
     7      949.0     235.0           300.0                           5.0
     8     -769.0    -378.0           300.0                           5.0
     9     -475.0    -827.0           300.0                           5.0
    10     -228.0    -742.0           300.0                           5.0
    11     -232.0    -638.0           300.0                           5.0
    12     -898.0     196.0           300.0                           5.0
    13      322.0    -918.0           300.0                           5.0
    14      480.0     868.0           300.0                           5.0
    15      717.0    -255.0           300.0                           5.0
    16      533.0    -638.0           300.0                           5.0
    17      388.0     907.0           300.0                           5.0
    18      405.0    -413.0           300.0                           5.0
    19       49.0    -956.0           300.0                           5.0
    20     -636.0     148.0           300.0                           5.0
