ServiceMode
STAP-CS

Traveler
Number  Xcoord  Ycoord  SpeedMax
      20           0.0         0.0           25

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1      924.0    -185.0           300.0                           5.0
     2     -923.0    -181.0           300.0                           5.0
     3      570.0      40.0           300.0                           5.0
     4     -578.0     407.0           300.0                           5.0
     5     -755.0     103.0           300.0                           5.0
     6     -752.0    -210.0           300.0                           5.0
     7     -208.0    -864.0           300.0                           5.0
     8     -729.0     365.0           300.0                           5.0
     9      605.0    -100.0           300.0                           5.0
    10      125.0     632.0           300.0                           5.0
    11      422.0     -45.0           300.0                           5.0
    12     -212.0     435.0           300.0                           5.0
    13       67.0     424.0           300.0                           5.0
    14      543.0    -415.0           300.0                           5.0
    15      649.0     -62.0           300.0                           5.0
    16     -229.0     308.0           300.0                           5.0
    17       60.0    -673.0           300.0                           5.0
    18     -412.0     881.0           300.0                           5.0
    19      -89.0     702.0           300.0                           5.0
    20     -586.0    -693.0           300.0                           5.0
