ServiceMode
STAP-CS

Traveler
Number  Xcoord  Ycoord  SpeedMax
      25           0.0         0.0           25

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1     -202.0    -751.0           300.0                           5.0
     2     -613.0     -41.0           300.0                           5.0
     3      756.0    -577.0           300.0                           5.0
     4      128.0     465.0           300.0                           5.0
     5     -381.0     148.0           300.0                           5.0
     6     -371.0     103.0           300.0                           5.0
     7     -148.0     818.0           300.0                           5.0
     8     -711.0    -457.0           300.0                           5.0
     9     -353.0    -136.0           300.0                           5.0
    10     -509.0     300.0           300.0                           5.0
    11     -213.0    -570.0           300.0                           5.0
    12      394.0     594.0           300.0                           5.0
    13      146.0    -760.0           300.0                           5.0
    14      109.0     615.0           300.0                           5.0
    15      626.0    -264.0           300.0                           5.0
    16     -463.0    -874.0           300.0                           5.0
    17      541.0    -788.0           300.0                           5.0
    18      563.0     369.0           300.0                           5.0
    19     -779.0    -296.0           300.0                           5.0
    20      103.0     655.0           300.0                           5.0
    21     -679.0     134.0           300.0                           5.0
    22     -155.0     578.0           300.0                           5.0
    23      463.0    -556.0           300.0                           5.0
    24     -166.0     780.0           300.0                           5.0
    25     -580.0     170.0           300.0                           5.0
