ServiceMode
STAP-IS

Traveler
Number  Xcoord  Ycoord  SpeedMax
      10           0.0         0.0           25

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1     -942.0    -288.0           300.0                          10.0
     2     -216.0    -963.0           300.0                          10.0
     3      181.0     837.0           300.0                          10.0
     4      988.0      38.0           300.0                          10.0
     5     -538.0     233.0           300.0                          10.0
     6      289.0     849.0           300.0                          10.0
     7      932.0     -97.0           300.0                          10.0
     8     -422.0    -296.0           300.0                          10.0
     9     -273.0     236.0           300.0                          10.0
    10      386.0    -108.0           300.0                          10.0
