ServiceMode
STAP-IM

Traveler
Number  Xcoord  Ycoord  SpeedMax
      25           0.0         0.0           25

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1       81.0    -427.0           300.0                          10.0
     2     -118.0    -702.0           300.0                          10.0
     3     -961.0    -237.0           300.0                          10.0
     4      674.0     327.0           300.0                          10.0
     5     -598.0       0.0           300.0                          10.0
     6      280.0    -799.0           300.0                          10.0
     7      618.0     272.0           300.0                          10.0
     8      516.0    -329.0           300.0                          10.0
     9     -531.0     164.0           300.0                          10.0
    10      957.0     151.0           300.0                          10.0
    11      766.0    -248.0           300.0                          10.0
    12     -543.0    -170.0           300.0                          10.0
    13      642.0     712.0           300.0                          10.0
    14        1.0    -762.0           300.0                          10.0
    15     -825.0     169.0           300.0                          10.0
    16     -548.0      31.0           300.0                          10.0
    17     -663.0      94.0           300.0                          10.0
    18      349.0    -566.0           300.0                          10.0
    19     -349.0     821.0           300.0                          10.0
    20     -128.0     779.0           300.0                          10.0
    21     -434.0     575.0           300.0                          10.0
    22     -573.0     608.0           300.0                          10.0
    23     -138.0    -711.0           300.0                          10.0
    24      579.0    -386.0           300.0                          10.0
    25      -29.0    -529.0           300.0                          10.0
