ServiceMode
STAP-CS

Traveler
Number  Xcoord  Ycoord  SpeedMax
      10           0.0         0.0           50

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1       81.0    -427.0           300.0                          10.0
     2     -118.0    -702.0           300.0                          10.0
     3     -961.0    -237.0           300.0                          10.0
     4      674.0     327.0           300.0                          10.0
     5     -598.0       0.0           300.0                          10.0
     6      280.0    -799.0           300.0                          10.0
     7      618.0     272.0           300.0                          10.0
     8      516.0    -329.0           300.0                          10.0
     9     -531.0     164.0           300.0                          10.0
    10      957.0     151.0           300.0                          10.0
