ServiceMode
STAP-CM

Traveler
Number  Xcoord  Ycoord  SpeedMax
      20           0.0         0.0           50

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1     -468.0     828.0           300.0                           5.0
     2      886.0     237.0           300.0                           5.0
     3     -385.0    -261.0           300.0                           5.0
     4     -668.0     374.0           300.0                           5.0
     5     -463.0    -449.0           300.0                           5.0
     6      -63.0    -709.0           300.0                           5.0
     7     -668.0    -361.0           300.0                           5.0
     8      828.0     -50.0           300.0                           5.0
     9     -784.0     475.0           300.0                           5.0
    10      422.0    -844.0           300.0                           5.0
    11      -80.0    -404.0           300.0                           5.0
    12      -77.0    -905.0           300.0                           5.0
    13     -834.0    -219.0           300.0                           5.0
    14      464.0    -126.0           300.0                           5.0
    15      142.0     675.0           300.0                           5.0
    16      866.0     -31.0           300.0                           5.0
    17     -279.0    -518.0           300.0                           5.0
    18     -164.0    -788.0           300.0                           5.0
    19     -580.0     779.0           300.0                           5.0
    20     -480.0     337.0           300.0                           5.0
