ServiceMode
STAP-CM

Traveler
Number  Xcoord  Ycoord  SpeedMax
      25           0.0         0.0           50

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1      701.0     115.0           300.0                          10.0
     2     -714.0     307.0           300.0                          10.0
     3     -338.0     613.0           300.0                          10.0
     4     -402.0    -374.0           300.0                          10.0
     5      -65.0     617.0           300.0                          10.0
     6     -803.0    -148.0           300.0                          10.0
     7     -488.0     -41.0           300.0                          10.0
     8      117.0    -520.0           300.0                          10.0
     9     -933.0      33.0           300.0                          10.0
    10      816.0     446.0           300.0                          10.0
    11      689.0     299.0           300.0                          10.0
    12      579.0     402.0           300.0                          10.0
    13     -397.0    -276.0           300.0                          10.0
    14      443.0     352.0           300.0                          10.0
    15     -329.0     455.0           300.0                          10.0
    16      217.0     696.0           300.0                          10.0
    17     -822.0      87.0           300.0                          10.0
    18     -570.0     490.0           300.0                          10.0
    19     -792.0    -435.0           300.0                          10.0
    20     -156.0    -490.0           300.0                          10.0
    21     -984.0       0.0           300.0                          10.0
    22     -517.0     797.0           300.0                          10.0
    23     -707.0     346.0           300.0                          10.0
    24      118.0    -701.0           300.0                          10.0
    25      737.0    -220.0           300.0                          10.0
