Instance: STAP-CS_Num15_S50_D20_ID9
OFV: 304.0973282922071
RunTime: 688.2410447597504
GurobiRunTime: 481.6845390796661
Visiting sequence:
1   0
1   1
12   0
8   0
12   1
9   0
8   1
9   1
11   0
11   1
10   0
10   1
13   0
13   1
6   0
6   1
15   0
15   1
7   0
7   1
2   0
2   1
14   0
3   0
14   1
4   0
4   1
3   1
5   0
5   1
Traveling path:
0.0     0.0
-62.0    -0.6
-661.6    11.3
-661.6    11.3
-890.1  -103.5
-776.9   -78.5
-734.1  -675.7
-509.9  -529.3
-511.6  -529.2
-511.6  -529.2
65.2  -678.7
65.2  -678.7
71.8  -752.4
71.8  -752.5
243.9  -628.3
243.9  -628.3
476.2   -76.0
476.2   -76.0
716.8    45.0
716.8    45.0
656.6   301.9
656.6   302.0
744.2   726.0
744.2   725.9
197.0   769.8
380.0   585.2
308.0   699.7
308.0   699.7
2.2   202.4
2.1   202.4
-80.5   117.4
0.0     0.0
